SSATier1,SSATier2,Provision,LevelOfLearning,AppType,Sex,AgeGroup,Ethnicity,IndustrySection,NumberSustainedEmployment,SustainedEmploymentPercent
Retail and Commercial Enterprise,Warehousing and Distribution,All,All,All,All,All,White,Real Estate Activities,10.0,0.0
Digital Technology,Digital technology (users),All,All,All,All,All,Mixed / Multiple ethnic groups,Information And Communication,10.0,0.0
"Health, Public Services and Care",Child Development and Well Being,Education & Training,All,Not applicable,All,50 and over,All,Real Estate Activities,10.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Education & Training,All,Not applicable,All,50 and over,All,"Agriculture, Forestry And Fishing",c,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",Apprenticeship,All,All,Male,All,All,Public Administration And Defence - Compulsory Social Security,c,0.0
Digital Technology,Not Applicable / Not Known,All,All,All,All,All,White,Construction,c,0.0
"History, Philosophy and Theology",All,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Manufacturing,c,0.0
Education and Training,All,All,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
"Arts, Media and Publishing",Media and Communication,All,All,All,All,All,Unknown,"Arts, Entertainment And Recreation",10.0,0.0
Engineering and Manufacturing Technologies,Not Applicable / Not Known,Education & Training,All,Not applicable,All,All,Asian / Asian British,Accommodation And Food Service Activities,10.0,0.0
Not Applicable / Not Known,Not Applicable / Not Known,All,All,All,Female,All,All,Information And Communication,20.0,0.0
Science and Mathematics,Mathematics and Statistics,All,All,All,All,All,Black / African / Caribbean / Black British,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
"Arts, Media and Publishing",Media and Communication,Education & Training,Level 2 Other,Not applicable,All,All,All,Real Estate Activities,10.0,0.0
Digital Technology,Digital technology (practitioners),Education & Training,Level 5,All,All,All,All,Administrative And Support Service Activities,c,0.0
"History, Philosophy and Theology",Theology and Religious Studies,Education & Training,Full level 3,All,All,All,All,"Professional, Scientific And Technical Activities",20.0,0.0
"Health, Public Services and Care","Health, Public Services and Care",Education & Training,All,Not applicable,All,19 - 24,All,Education,c,0.0
"Agriculture, Horticulture and Animal Care",All,Apprenticeship,All,All,All,All,All,Information And Communication,c,0.0
All,All,Apprenticeship,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,"Agriculture, Forestry And Fishing",10.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Education & Training,All,Not applicable,All,All,Asian / Asian British,"Arts, Entertainment And Recreation",c,0.0
"History, Philosophy and Theology",Philosophy,All,Full level 3,Not applicable,All,All,All,Information And Communication,c,0.0
Engineering and Manufacturing Technologies,All,Apprenticeship,All,Framework apprenticeship,All,25 - 49,All,Real Estate Activities,10.0,0.0
Social Sciences,Economics,Education & Training,All,All,All,19 - 24,All,Administrative And Support Service Activities,c,0.0
"Construction, Planning and the Built Environment",All,All,All,All,All,All,Other ethnic group,Mining And Quarrying,c,0.0
Digital Technology,Digital technology (users),Apprenticeship,All,Framework apprenticeship,All,All,All,Manufacturing,c,0.0
"Health, Public Services and Care",Health and Social Care,Education & Training,All,All,All,All,Unknown,Real Estate Activities,10.0,0.0
Social Sciences,Politics,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Financial And Insurance Activities,c,0.0
Digital Technology,All,Education & Training,All,All,All,All,Unknown,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
All,All,Apprenticeship,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
Digital Technology,Digital technology (users),Apprenticeship,All,Standard apprenticeship,All,All,White,Manufacturing,20.0,0.0
Education and Training,All,Apprenticeship,All,Standard apprenticeship,All,18 and under,All,Accommodation And Food Service Activities,10.0,0.0
"Arts, Media and Publishing",Performing Arts,Education & Training,Level 4,Not applicable,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Arts, Media and Publishing",Performing Arts,All,All,Not applicable,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Health, Public Services and Care",All,Education & Training,Level 5,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,10.0,0.0
Engineering and Manufacturing Technologies,Not Applicable / Not Known,All,Level 2 Other,All,All,All,All,Administrative And Support Service Activities,10.0,0.0
"Business, Administration and Law",Administration,Apprenticeship,All,Framework apprenticeship,All,All,White,Education,20.0,0.0
"Health, Public Services and Care",Public Services,Education & Training,All,Not applicable,All,50 and over,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
Retail and Commercial Enterprise,Service Enterprises,Apprenticeship,All,All,All,19 - 24,All,Construction,10.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",Apprenticeship,All,All,All,All,Asian / Asian British,Education,c,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,Education & Training,Other,All,All,All,All,Administrative And Support Service Activities,c,0.0
Education and Training,Direct Learning Support,Education & Training,All,All,All,18 and under,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,All,All,All,All,All,Black / African / Caribbean / Black British,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Business, Administration and Law",Business Management,Education & Training,Level 1 / Other Entry Level,All,All,All,All,"Agriculture, Forestry And Fishing",c,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Accommodation And Food Service Activities,c,0.0
Preparation for Life and Work,All,Education & Training,Entry Level English & Maths,Not applicable,All,All,All,Activities Of Extraterritorial Organisations And Bodies,c,0.0
"Health, Public Services and Care",Public Services,Apprenticeship,All,All,All,50 and over,All,Administrative And Support Service Activities,10.0,0.0
"Health, Public Services and Care",Public Services,Apprenticeship,All,Standard apprenticeship,All,18 and under,All,Construction,c,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",All,All,Not applicable,All,All,White,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
Education and Training,Teaching and Lecturing,Education & Training,Level 4,Not applicable,All,All,All,Public Administration And Defence - Compulsory Social Security,c,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,All,All,Framework apprenticeship,All,19 - 24,All,Transportation And Storage,c,0.0
"Business, Administration and Law",Law and Legal Services,All,Full level 3,All,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"History, Philosophy and Theology",Philosophy,Education & Training,All,Not applicable,All,All,Unknown,Human Health And Social Work Activities,c,0.0
"Business, Administration and Law",Business Management,All,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,Accommodation And Food Service Activities,10.0,0.0
Digital Technology,Not Applicable / Not Known,Education & Training,All,Not applicable,All,All,All,Construction,c,0.0
Retail and Commercial Enterprise,Service Enterprises,All,Intermediate Apprenticeship,All,All,All,All,Financial And Insurance Activities,10.0,0.0
"Arts, Media and Publishing",Media and Communication,Apprenticeship,All,Standard apprenticeship,Female,All,All,Real Estate Activities,c,0.0
Retail and Commercial Enterprise,All,Apprenticeship,All,Standard apprenticeship,All,50 and over,All,Financial And Insurance Activities,c,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,All,All,Not applicable,All,All,Other ethnic group,Education,c,0.0
"Business, Administration and Law",Administration,Apprenticeship,All,All,All,All,Other ethnic group,Financial And Insurance Activities,c,0.0
Engineering and Manufacturing Technologies,Not Applicable / Not Known,Education & Training,All,All,All,All,All,Administrative And Support Service Activities,10.0,0.0
Social Sciences,Geography,All,All,All,All,All,Black / African / Caribbean / Black British,Accommodation And Food Service Activities,10.0,0.0
"Arts, Media and Publishing",Media and Communication,Education & Training,All,All,All,All,Asian / Asian British,Unknown,10.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,All,All,Female,All,All,Other Service Activities,c,0.0
"Health, Public Services and Care",Nursing and Subjects and Vocations Allied to Medicine,Apprenticeship,All,All,All,All,All,Real Estate Activities,c,0.0
"Business, Administration and Law",Marketing and Sales,Apprenticeship,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Accommodation And Food Service Activities,c,0.0
"Health, Public Services and Care",All,Education & Training,All,Not applicable,All,All,Unknown,Real Estate Activities,20.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,All,All,Standard apprenticeship,All,All,All,Information And Communication,c,0.0
All,All,All,Level 4,Not applicable,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"History, Philosophy and Theology",All,All,Level 3 Other,Not applicable,All,All,All,Accommodation And Food Service Activities,c,0.0
All,All,Education & Training,Level 4,Not applicable,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",10.0,0.0
Not Applicable / Not Known,All,Traineeship,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Other Service Activities,20.0,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,All,Male,All,All,"Agriculture, Forestry And Fishing",20.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,All,Not applicable,All,All,Mixed / Multiple ethnic groups,Public Administration And Defence - Compulsory Social Security,c,0.0
"History, Philosophy and Theology",History,Education & Training,Level 1 / Other Entry Level,Not applicable,All,All,All,Administrative And Support Service Activities,10.0,0.0
"History, Philosophy and Theology",Philosophy,Education & Training,All,All,All,18 and under,All,Other Service Activities,c,0.0
Science and Mathematics,Science,Education & Training,All,All,All,All,Asian / Asian British,"Agriculture, Forestry And Fishing",c,0.0
Social Sciences,Sociology and Social Policy,Education & Training,All,Not applicable,All,25 - 49,All,Construction,c,0.0
"Business, Administration and Law",Business Management,Apprenticeship,All,Standard apprenticeship,All,All,Black / African / Caribbean / Black British,Manufacturing,10.0,0.0
"Agriculture, Horticulture and Animal Care",All,Education & Training,All,Not applicable,All,All,Unknown,"Arts, Entertainment And Recreation",10.0,0.0
"Construction, Planning and the Built Environment",Building and Construction,All,All,All,All,All,Other ethnic group,Transportation And Storage,30.0,0.0
Education and Training,All,Apprenticeship,All,All,All,50 and over,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
Retail and Commercial Enterprise,Hospitality and Catering,All,Intermediate Apprenticeship,All,All,All,All,Information And Communication,c,0.0
"Health, Public Services and Care",Public Services,All,All,All,All,All,Other ethnic group,Manufacturing,c,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Education & Training,Full level 2,All,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
"Health, Public Services and Care",Medicine and Dentistry,Apprenticeship,Higher (Level 4) Apprenticeship,All,All,All,All,Administrative And Support Service Activities,10.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,All,All,All,25 - 49,All,Transportation And Storage,20.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,All,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,All,10.0,0.0
"History, Philosophy and Theology",Theology and Religious Studies,All,All,Not applicable,Male,All,All,Unknown,10.0,0.0
"Business, Administration and Law",Business Management,Education & Training,Level 3 Other,Not applicable,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",10.0,0.0
Engineering and Manufacturing Technologies,Engineering,Apprenticeship,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,"Water Supply - Sewerage, Waste Management And Remediation Activities",10.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,Apprenticeship,All,Standard apprenticeship,All,50 and over,All,Financial And Insurance Activities,c,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,All,All,All,All,Mixed / Multiple ethnic groups,Human Health And Social Work Activities,10.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,All,All,Standard apprenticeship,Male,All,All,"Professional, Scientific And Technical Activities",c,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Apprenticeship,All,Standard apprenticeship,All,All,White,"Professional, Scientific And Technical Activities",10.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,Apprenticeship,All,Standard apprenticeship,Female,All,All,"Arts, Entertainment And Recreation",c,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,Education,c,0.0
"Health, Public Services and Care",All,All,Higher (Level 5) Apprenticeship,Standard apprenticeship,All,All,All,Real Estate Activities,10.0,0.0
"Arts, Media and Publishing",All,Apprenticeship,All,Standard apprenticeship,All,18 and under,All,"Professional, Scientific And Technical Activities",c,0.0
"Business, Administration and Law",Business Management,Apprenticeship,Higher (Level 6) Apprenticeship,Standard apprenticeship,All,All,All,Construction,20.0,0.0
Digital Technology,Digital technology (users),Apprenticeship,All,All,All,All,White,Real Estate Activities,c,0.0
"Health, Public Services and Care",Medicine and Dentistry,Education & Training,All,Not applicable,Male,All,All,Information And Communication,c,0.0
"Health, Public Services and Care",Health and Social Care,All,All,Framework apprenticeship,Female,All,All,Real Estate Activities,c,0.0
"Health, Public Services and Care",All,All,All,Standard apprenticeship,All,All,Unknown,Administrative And Support Service Activities,10.0,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",Apprenticeship,Advanced Apprenticeship,Standard apprenticeship,All,All,All,Real Estate Activities,c,0.0
"Health, Public Services and Care",Child Development and Well Being,All,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,"Agriculture, Forestry And Fishing",c,0.0
"Languages, Literature and Culture",All,All,Other,Not applicable,All,All,All,Administrative And Support Service Activities,c,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",All,Level 2 Other,Not applicable,All,All,All,"Agriculture, Forestry And Fishing",30.0,0.0
"Arts, Media and Publishing",Performing Arts,Education & Training,All,All,All,All,Asian / Asian British,Public Administration And Defence - Compulsory Social Security,10.0,0.0
Education and Training,Direct Learning Support,All,Other,Not applicable,All,All,All,Administrative And Support Service Activities,c,0.0
"Health, Public Services and Care",Health and Social Care,All,Level 4,All,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
Education and Training,All,Apprenticeship,All,Standard apprenticeship,All,All,Asian / Asian British,Public Administration And Defence - Compulsory Social Security,c,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,All,All,Standard apprenticeship,All,19 - 24,All,"Arts, Entertainment And Recreation",c,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,All,Standard apprenticeship,All,All,White,"Arts, Entertainment And Recreation",c,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Traineeship,Traineeship,Not applicable,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
Preparation for Life and Work,Foundations for Learning and Life,Education & Training,Full level 3,Not applicable,All,All,All,Human Health And Social Work Activities,c,0.0
"Business, Administration and Law",Business Management,All,All,Standard apprenticeship,All,All,Other ethnic group,Transportation And Storage,c,0.0
Education and Training,All,All,All,Not applicable,All,19 - 24,All,Real Estate Activities,10.0,0.0
"Business, Administration and Law",Business Management,Apprenticeship,Higher (Level 6) Apprenticeship,All,All,All,All,Construction,20.0,0.0
"Business, Administration and Law",All,All,All,Not applicable,Male,All,All,Activities Of Extraterritorial Organisations And Bodies,c,0.0
"Leisure, Travel and Tourism",All,Apprenticeship,All,All,Female,All,All,Unknown,c,0.0
Digital Technology,Digital technology (practitioners),All,Level 4,Not applicable,All,All,All,Education,c,0.0
Digital Technology,Digital technology (practitioners),Apprenticeship,All,All,Male,All,All,"Agriculture, Forestry And Fishing",c,0.0
All,All,All,Level 2 English & Maths,All,All,All,All,Mining And Quarrying,c,0.0
"Construction, Planning and the Built Environment",Building and Construction,All,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,Unknown,c,0.0
Social Sciences,Sociology and Social Policy,Education & Training,Full level 3,All,All,All,All,Mining And Quarrying,c,0.0
"Construction, Planning and the Built Environment",Building and Construction,All,All,Not applicable,Female,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
"Health, Public Services and Care",Child Development and Well Being,Apprenticeship,All,All,All,All,White,Manufacturing,10.0,0.0
Education and Training,Teaching and Lecturing,All,All,Not applicable,All,All,Mixed / Multiple ethnic groups,"Professional, Scientific And Technical Activities",c,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,Apprenticeship,All,All,All,50 and over,All,Financial And Insurance Activities,c,0.0
"Arts, Media and Publishing",Media and Communication,Education & Training,Level 3 Other,Not applicable,All,All,All,Other Service Activities,20.0,0.0
"Health, Public Services and Care",Medicine and Dentistry,All,All,All,All,50 and over,All,Construction,c,0.0
Retail and Commercial Enterprise,Hospitality and Catering,Apprenticeship,All,Standard apprenticeship,All,All,White,Financial And Insurance Activities,10.0,0.0
Science and Mathematics,Mathematics and Statistics,All,Level 1 / Other Entry Level,Not applicable,All,All,All,Construction,c,0.0
"Health, Public Services and Care",All,Education & Training,Other,All,All,All,All,Construction,10.0,0.0
Education and Training,Direct Learning Support,Apprenticeship,All,All,All,All,Asian / Asian British,Public Administration And Defence - Compulsory Social Security,c,0.0
Engineering and Manufacturing Technologies,All,All,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,Information And Communication,c,0.0
"Business, Administration and Law",Administration,All,Intermediate Apprenticeship,Framework apprenticeship,All,All,All,Education,c,0.0
Retail and Commercial Enterprise,Hospitality and Catering,All,All,Not applicable,All,All,Other ethnic group,Human Health And Social Work Activities,10.0,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,Apprenticeship,All,All,All,19 - 24,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Languages, Literature and Culture",All,Education & Training,All,Not applicable,All,All,Unknown,Transportation And Storage,10.0,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,Not applicable,All,25 - 49,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,All,All,50 and over,All,Manufacturing,10.0,0.0
"History, Philosophy and Theology",History,Education & Training,All,Not applicable,Male,All,All,Information And Communication,10.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Apprenticeship,All,All,All,25 - 49,All,Unknown,c,0.0
"Languages, Literature and Culture",Linguistics,All,Level 1 / Other Entry Level,Not applicable,All,All,All,Education,20.0,0.0
"Health, Public Services and Care",Not Applicable / Not Known,All,All,Not applicable,All,All,Black / African / Caribbean / Black British,"Arts, Entertainment And Recreation",c,0.0
"Health, Public Services and Care",Medicine and Dentistry,All,All,All,All,18 and under,All,Information And Communication,c,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,All,All,Not applicable,All,All,Black / African / Caribbean / Black British,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Business, Administration and Law",Administration,Apprenticeship,All,Framework apprenticeship,All,All,White,Unknown,c,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,Higher (Level 4) Apprenticeship,All,All,All,All,Transportation And Storage,c,0.0
Social Sciences,Geography,Education & Training,All,Not applicable,All,18 and under,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
All,All,All,All,Standard apprenticeship,All,18 and under,All,Mining And Quarrying,c,0.0
"Health, Public Services and Care",All,All,All,Not applicable,All,All,Other ethnic group,"Agriculture, Forestry And Fishing",c,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,Level 2 Other,Not applicable,All,All,All,Financial And Insurance Activities,10.0,0.0
"Arts, Media and Publishing",Media and Communication,All,All,Not applicable,All,All,Unknown,Unknown,10.0,0.0
"Health, Public Services and Care",All,All,All,Not applicable,All,All,Other ethnic group,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
Retail and Commercial Enterprise,Service Enterprises,All,Higher (Level 4) Apprenticeship,All,All,All,All,Accommodation And Food Service Activities,c,0.0
Education and Training,Direct Learning Support,All,Other,Not applicable,All,All,All,"Professional, Scientific And Technical Activities",c,0.0
"Health, Public Services and Care",Public Services,All,Higher (Level 4) Apprenticeship,All,All,All,All,Administrative And Support Service Activities,c,0.0
"History, Philosophy and Theology",History,Education & Training,Level 3 Other,All,All,All,All,All,c,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Apprenticeship,All,All,All,18 and under,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,10.0,0.0
Retail and Commercial Enterprise,Service Enterprises,Education & Training,Full level 3,Not applicable,All,All,All,Real Estate Activities,10.0,0.0
"Arts, Media and Publishing",Media and Communication,Education & Training,All,Not applicable,All,All,Asian / Asian British,Unknown,10.0,0.0
Education and Training,All,Apprenticeship,All,All,All,All,White,"Arts, Entertainment And Recreation",30.0,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,Education & Training,All,All,All,All,Mixed / Multiple ethnic groups,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,c,0.0
"Health, Public Services and Care",Child Development and Well Being,All,Level 2 Other,Not applicable,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Business, Administration and Law",Law and Legal Services,All,All,All,All,All,Black / African / Caribbean / Black British,Real Estate Activities,c,0.0
"History, Philosophy and Theology",History,All,All,Not applicable,All,All,All,Real Estate Activities,10.0,0.0
Retail and Commercial Enterprise,Hospitality and Catering,All,All,All,All,All,Asian / Asian British,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
Engineering and Manufacturing Technologies,All,All,Intermediate Apprenticeship,Framework apprenticeship,All,All,All,"Agriculture, Forestry And Fishing",c,0.0
"Construction, Planning and the Built Environment",All,Apprenticeship,All,Standard apprenticeship,All,All,Unknown,Administrative And Support Service Activities,c,0.0
"Arts, Media and Publishing","Crafts, Creative Arts and Design",Education & Training,All,All,All,All,Asian / Asian British,"Agriculture, Forestry And Fishing",c,0.0
"Health, Public Services and Care",Health and Social Care,Education & Training,All,All,Male,All,All,Mining And Quarrying,10.0,0.0
Education and Training,Teaching and Lecturing,Education & Training,Level 5,Not applicable,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,c,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",Education & Training,All,Not applicable,All,All,Asian / Asian British,"Arts, Entertainment And Recreation",c,0.0
"Health, Public Services and Care",All,All,All,All,All,All,Other ethnic group,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
All,All,All,Level 5,All,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
Digital Technology,All,All,Advanced Apprenticeship,All,All,All,All,"Agriculture, Forestry And Fishing",c,0.0
"Business, Administration and Law",Administration,Apprenticeship,All,Standard apprenticeship,All,25 - 49,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,Education & Training,All,All,Male,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
"Business, Administration and Law",Accounting and Finance,All,Level 2 Other,All,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
"Business, Administration and Law",Business Management,All,Higher (Level 5) Apprenticeship,Standard apprenticeship,All,All,All,"Agriculture, Forestry And Fishing",10.0,0.0
Education and Training,Teaching and Lecturing,Education & Training,All,All,Female,All,All,Information And Communication,10.0,0.0
"Agriculture, Horticulture and Animal Care",All,Education & Training,All,All,All,All,Other ethnic group,"Professional, Scientific And Technical Activities",10.0,0.0
"Languages, Literature and Culture",Linguistics,Education & Training,All,Not applicable,All,25 - 49,All,Accommodation And Food Service Activities,10.0,0.0
"Health, Public Services and Care",Health and Social Care,Apprenticeship,All,Standard apprenticeship,All,All,Unknown,Administrative And Support Service Activities,c,0.0
"Business, Administration and Law",Not Applicable / Not Known,Education & Training,Full level 3,All,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,c,0.0
"Arts, Media and Publishing",Media and Communication,Education & Training,All,Not applicable,All,19 - 24,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
Education and Training,All,Apprenticeship,Advanced Apprenticeship,All,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
"Business, Administration and Law",Law and Legal Services,Education & Training,All,Not applicable,Male,All,All,Human Health And Social Work Activities,20.0,0.0
"Arts, Media and Publishing",Performing Arts,All,All,All,All,All,White,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
Social Sciences,Economics,All,All,Not applicable,All,All,Other ethnic group,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,c,0.0
"Arts, Media and Publishing",Performing Arts,All,All,Not applicable,All,All,Other ethnic group,Manufacturing,c,0.0
Digital Technology,Digital technology (users),Apprenticeship,All,All,Female,All,All,Manufacturing,10.0,0.0
Digital Technology,Digital technology (users),Education & Training,All,Not applicable,All,All,Asian / Asian British,Real Estate Activities,10.0,0.0
"History, Philosophy and Theology",All,All,Level 1 / Other Entry Level,All,All,All,All,Other Service Activities,10.0,0.0
Science and Mathematics,Science,All,Full level 2,All,All,All,All,"Agriculture, Forestry And Fishing",c,0.0
"Health, Public Services and Care",Child Development and Well Being,All,All,Standard apprenticeship,All,19 - 24,All,"Agriculture, Forestry And Fishing",c,0.0
Science and Mathematics,Science,All,All,Not applicable,All,25 - 49,All,Construction,c,0.0
"Health, Public Services and Care",All,Apprenticeship,All,All,All,19 - 24,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
Engineering and Manufacturing Technologies,All,All,All,Framework apprenticeship,All,19 - 24,All,Other Service Activities,10.0,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,All,All,Not applicable,All,All,Asian / Asian British,Transportation And Storage,c,0.0
"Languages, Literature and Culture",Linguistics,All,All,Not applicable,Female,All,All,Administrative And Support Service Activities,10.0,0.0
Education and Training,Teaching and Lecturing,All,All,Not applicable,All,All,Unknown,Administrative And Support Service Activities,c,0.0
Digital Technology,Digital technology (practitioners),All,Higher (Level 7+) Apprenticeship,All,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Languages, Literature and Culture",Linguistics,Education & Training,Level 1 / Other Entry Level,All,All,All,All,"Arts, Entertainment And Recreation",c,0.0
"Business, Administration and Law",Business Management,All,Full level 3,Not applicable,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",10.0,0.0
"Construction, Planning and the Built Environment",All,Apprenticeship,All,All,All,18 and under,All,Mining And Quarrying,c,0.0
All,All,Apprenticeship,All,Standard apprenticeship,All,18 and under,All,Mining And Quarrying,c,0.0
Retail and Commercial Enterprise,Retailing and Wholesaling,All,All,Not applicable,All,25 - 49,All,Financial And Insurance Activities,c,0.0
Digital Technology,All,All,All,Not applicable,All,50 and over,All,"Agriculture, Forestry And Fishing",10.0,0.0
Social Sciences,Sociology and Social Policy,Education & Training,All,All,Male,All,All,Mining And Quarrying,c,0.0
Education and Training,Direct Learning Support,Education & Training,Other,All,All,All,All,Human Health And Social Work Activities,10.0,0.0
"Arts, Media and Publishing",All,Education & Training,All,Not applicable,All,19 - 24,All,"Agriculture, Forestry And Fishing",10.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Education & Training,All,All,All,25 - 49,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
